Designator,id,Layer,Center-X(mm),Center-Y(mm),Rotation,Unit Quantity

"C1","45000079","Top","66.206","9.341","90",""
"C2","45000079","Top","62.396","7.31","90",""
"C3","45000079","Top","47.64","13.462","90",""
"C4","45000079","Top","32.004","57.292","180",""
"C5","45000079","Top","45.974","57.165","180",""
"C6","45000079","Top","29.068","62.865","90",""
"C7","45000079","Top","65.786","33.543","180",""
"C8","45000079","Top","33.655","43.195","180",""
"C9","45000079","Top","65.659","26.909","180",""
"C10","45000079","Top","46.228","5.7","180",""
"C11","45000014","Top","62.357","49.924","180",""
"C12","45000014","Top","14.605","42.532","180",""
"C13","45000014","Top","73.787","13.335","90",""
"D1","45006194","Bottom","55","27.5","0","1"
"D2","45006194","Bottom","25","27.5","0","1"
"D3","45000071","Top","55.88","35.306","270",""
"D4","45000071","Top","52.197","35.306","270",""
"D5","45000071","Top","48.514","35.306","270",""
"FID1","45000048","Top","2.5","60.5","90",""
"FID2","45000048","Top","77.5","60","90",""
"FID3","45000048","Top","2.5","10","90",""
"M1","45000530","Top","5","65","0",""
"M2","45000530","Top","75","65","0",""
"M3","45000530","Top","5","5","0",""
"M4","45000530","Top","75","5","0",""
"P1","45001155","Top","72.5","47.54","90",""
"P2","45001155","Top","72.517","23.495","90",""
"P3","45001155","Top","72.517","35.433","90",""
"P4","45007936","Top","54.47","14","90","1"
"P5","45000411","Top","33.89","65.5","0",""
"P6","45007935","Top","17.5","14.777","90","1"
"P7","45000355","Top","5","45.125","90",""
"P8","45007934","Top","35","13.15","90","1"
"Q1","45003086","Top","62.2","21.905","180",""
"Q2","45003086","Top","62.357","14.859","180",""
"R1","45000492","Top","62.85","24.511","270",""
"R2","45000492","Top","62.85","17.526","270",""
"R3","45000125","Top","62.88","26.162","270",""
"R4","45000125","Top","62.88","19.05","270",""
"R5","45000125","Top","66.206","11.341","270",""
"R6","45000125","Top","62.396","11.31","270",""
"R7","45000125","Top","47.65","17","90",""
"R8","45000333","Top","66.206","7.341","90",""
"R9","45000333","Top","62.396","9.31","90",""
"R10","45000333","Top","47.64","15.24","90",""
"R11","45000492","Top","30.099","57.292","180",""
"R12","45000492","Top","39.878","57.262","180",""
"R13","45000492","Top","41.91","57.262","180",""
"R14","45000492","Top","11.571","17.627","90",""
"R15","45000492","Top","11.571","15.627","90",""
"R16","45000492","Top","11.571","13.627","90",""
"R17","45000492","Top","11.571","11.627","90",""
"R18","45000492","Top","31.75","43.195","180",""
"R19","45000492","Top","37.465","43.195","180",""
"R20","45000492","Top","34.036","57.292","0",""
"R21","45000492","Top","29.225","18.415","90",""
"R22","45000492","Top","29.225","16.51","90",""
"R23","45000492","Top","29.225","14.605","90",""
"R24","45000492","Top","29.225","12.7","90",""
"R25","45000492","Top","35.56","43.195","0",""
"R26","45000492","Top","36.068","57.292","180",""
"R27","45000125","Top","21.448","22.225","270",""
"R28","45000125","Top","21.321","19.304","270",""
"R29","45000125","Top","21.321","16.256","270",""
"R30","45000125","Top","21.321","13.208","270",""
"R31","45000125","Top","38.847","19.05","270",""
"R32","45000125","Top","38.847","16.129","270",""
"R33","45000125","Top","38.847","13.208","270",""
"R34","45000125","Top","38.847","10.16","270",""
"R35","45000122","Top","41.021","62.372","0",""
"R36","45000122","Top","42.672","62.372","180",""
"S1","45001114","Bottom","55","50","270",""
"S2","45001114","Bottom","25","50","270",""
"U1","45000709","Bottom","41.5","28","0","1"
"U2","45007932","Top","45","50","90","1"
"U3","45007933","Top","47.65","8.95","0","1"
"U4","45002309","Top","34","50","90","1"
